Date,Open,High,Low,Close/Last,Volume
9/26/2025,$750.00 ,$751.93 ,$737.35 ,$743.75 ,9696338
9/25/2025,$753.45 ,$756.77 ,$744.55 ,$748.91 ,10591070
9/24/2025,$757.50 ,$761.11 ,$752.53 ,$760.66 ,8828227
9/23/2025,$769.25 ,$770.60 ,$751.07 ,$755.40 ,10872590
9/22/2025,$781.85 ,$785.73 ,$764.47 ,$765.16 ,11706950
9/19/2025,$786.42 ,$790.80 ,$769.19 ,$778.38 ,23696820
9/18/2025,$780.75 ,$788.78 ,$773.36 ,$780.25 ,10954950
9/17/2025,$779.99 ,$783.29 ,$766.31 ,$775.72 ,9400867
9/16/2025,$767.00 ,$781.36 ,$765.10 ,$779.00 ,11782480
9/15/2025,$757.47 ,$774.07 ,$751.99 ,$764.70 ,10533780
9/12/2025,$748.73 ,$757.57 ,$743.76 ,$755.59 ,8248557
9/11/2025,$754.65 ,$757.10 ,$748.37 ,$750.90 ,7923284
9/10/2025,$765.13 ,$765.70 ,$751.00 ,$751.98 ,12478280
9/9/2025,$757.49 ,$766.30 ,$753.43 ,$765.70 ,10999030
9/8/2025,$756.00 ,$766.51 ,$752.02 ,$752.30 ,13087820
9/5/2025,$752.62 ,$757.95 ,$745.03 ,$752.45 ,9663441
9/4/2025,$748.57 ,$761.16 ,$745.82 ,$748.65 ,11439080
9/3/2025,$736.00 ,$740.25 ,$733.99 ,$737.05 ,7699332
9/2/2025,$726.04 ,$736.00 ,$721.73 ,$735.11 ,9350857
8/29/2025,$745.28 ,$747.14 ,$735.35 ,$738.70 ,9070546
8/28/2025,$744.00 ,$753.05 ,$740.80 ,$751.11 ,7467955
8/27/2025,$752.30 ,$754.15 ,$742.84 ,$747.38 ,8315435
8/26/2025,$750.80 ,$754.87 ,$747.94 ,$754.10 ,7601800
8/25/2025,$754.82 ,$758.88 ,$750.13 ,$753.30 ,6861158
8/22/2025,$739.23 ,$756.90 ,$734.39 ,$754.79 ,10612670
8/21/2025,$744.71 ,$745.50 ,$733.11 ,$739.10 ,8876307
8/20/2025,$747.57 ,$750.20 ,$731.00 ,$747.72 ,11898190
8/19/2025,$767.12 ,$767.17 ,$749.36 ,$751.48 ,12286690
8/18/2025,$775.09 ,$775.81 ,$756.56 ,$767.37 ,16513740
8/15/2025,$784.15 ,$796.25 ,$780.82 ,$785.23 ,13375360
8/14/2025,$777.88 ,$787.81 ,$772.51 ,$782.13 ,8116193
8/13/2025,$791.15 ,$795.46 ,$778.23 ,$780.08 ,8811750
8/12/2025,$773.00 ,$793.67 ,$772.43 ,$790.00 ,14579770
8/11/2025,$770.08 ,$773.46 ,$764.67 ,$765.87 ,7611964
8/8/2025,$762.75 ,$769.90 ,$758.58 ,$769.30 ,7320755
8/7/2025,$773.49 ,$775.00 ,$759.55 ,$761.83 ,9019691
8/6/2025,$770.00 ,$773.64 ,$760.46 ,$771.99 ,9733910
8/5/2025,$776.45 ,$783.13 ,$763.00 ,$763.46 ,11640290
8/4/2025,$760.00 ,$776.85 ,$758.41 ,$776.37 ,15801730
8/1/2025,$760.73 ,$766.00 ,$745.31 ,$750.01 ,19028710
7/31/2025,$775.20 ,$784.75 ,$765.51 ,$773.44 ,38831100
7/30/2025,$708.09 ,$708.50 ,$691.20 ,$695.21 ,27077290
7/29/2025,$720.00 ,$724.47 ,$699.91 ,$700.00 ,13267030
7/28/2025,$715.20 ,$724.74 ,$712.68 ,$717.63 ,8715743
7/25/2025,$716.92 ,$720.65 ,$711.90 ,$712.68 ,8271698
7/24/2025,$717.05 ,$723.62 ,$714.00 ,$714.80 ,10920840
7/23/2025,$706.37 ,$714.63 ,$704.93 ,$713.58 ,8771615
7/22/2025,$716.19 ,$716.60 ,$701.41 ,$704.81 ,8921064
7/21/2025,$706.80 ,$717.00 ,$705.76 ,$712.97 ,9404391
7/18/2025,$702.19 ,$704.71 ,$691.65 ,$704.28 ,12779750
7/17/2025,$704.39 ,$705.90 ,$697.11 ,$701.41 ,11803260
7/16/2025,$713.37 ,$713.97 ,$699.27 ,$702.91 ,13067630
7/15/2025,$723.90 ,$724.47 ,$709.82 ,$710.39 ,11529510
7/14/2025,$717.60 ,$728.00 ,$716.55 ,$720.92 ,8939399
7/11/2025,$722.50 ,$725.16 ,$709.70 ,$717.51 ,10873880
7/10/2025,$731.55 ,$735.80 ,$719.60 ,$727.24 ,9922249
7/9/2025,$722.72 ,$737.53 ,$722.72 ,$732.78 ,11417960
7/8/2025,$721.57 ,$722.91 ,$714.81 ,$720.67 ,7770693
7/7/2025,$717.60 ,$727.00 ,$713.51 ,$718.35 ,9457080
7/3/2025,$726.61 ,$729.03 ,$714.42 ,$719.01 ,8601653
7/2/2025,$715.33 ,$720.30 ,$712.80 ,$713.57 ,9336740
7/1/2025,$736.88 ,$737.75 ,$715.37 ,$719.22 ,13431250
6/30/2025,$744.55 ,$747.90 ,$734.25 ,$738.09 ,15402110
6/27/2025,$726.52 ,$735.43 ,$725.86 ,$733.63 ,18775740
6/26/2025,$714.36 ,$728.22 ,$711.05 ,$726.09 ,13964790
6/25/2025,$713.32 ,$716.58 ,$705.38 ,$708.68 ,9320436
6/24/2025,$704.89 ,$713.19 ,$702.11 ,$712.20 ,13823180
6/23/2025,$683.69 ,$699.05 ,$678.75 ,$698.53 ,11080060
6/20/2025,$700.75 ,$701.82 ,$678.67 ,$682.35 ,22538640
6/18/2025,$698.18 ,$701.59 ,$694.90 ,$695.77 ,10068260
6/17/2025,$702.00 ,$705.97 ,$696.06 ,$697.23 ,10066110
6/16/2025,$699.33 ,$707.15 ,$693.51 ,$702.12 ,13720290
6/13/2025,$687.95 ,$694.57 ,$681.01 ,$682.87 ,9274441
