Date,Open,High,Low,Close/Last,Volume
8/8/2025,$90.77 ,$92.21 ,$90.75 ,$92.12 ,8035260
8/7/2025,$89.73 ,$91.36 ,$89.49 ,$91.02 ,9891846
8/6/2025,$90.21 ,$90.36 ,$88.82 ,$88.99 ,7869144
8/5/2025,$89.65 ,$90.56 ,$89.31 ,$90.20 ,6994419
8/4/2025,$87.08 ,$90.11 ,$86.94 ,$89.78 ,12500420
8/1/2025,$88.39 ,$88.50 ,$85.49 ,$86.86 ,16221310
7/31/2025,$91.60 ,$93.07 ,$88.43 ,$89.16 ,16565420
7/30/2025,$97.83 ,$98.89 ,$90.07 ,$92.76 ,44794730
7/29/2025,$93.25 ,$94.39 ,$91.78 ,$92.96 ,20923550
7/28/2025,$94.93 ,$95.74 ,$93.46 ,$93.67 ,10333590
7/25/2025,$93.40 ,$94.48 ,$92.31 ,$94.42 ,7224105
7/24/2025,$95.50 ,$95.58 ,$93.42 ,$93.70 ,7897596
7/23/2025,$97.35 ,$98.18 ,$95.54 ,$95.92 ,11275280
7/22/2025,$92.95 ,$97.16 ,$92.85 ,$96.94 ,9992365
7/21/2025,$94.30 ,$95.29 ,$92.61 ,$92.66 ,7217334
7/18/2025,$94.04 ,$94.46 ,$93.25 ,$93.80 ,5173102
7/17/2025,$90.73 ,$93.29 ,$90.57 ,$93.19 ,8588994
7/16/2025,$92.66 ,$93.28 ,$91.56 ,$92.51 ,7136905
7/15/2025,$93.62 ,$94.30 ,$92.15 ,$92.48 ,8567878
7/14/2025,$93.68 ,$93.96 ,$92.27 ,$93.42 ,6048282
7/11/2025,$94.37 ,$95.32 ,$94.14 ,$94.94 ,6339762
7/10/2025,$94.88 ,$95.74 ,$93.55 ,$95.15 ,6916235
7/9/2025,$97.55 ,$97.89 ,$94.66 ,$95.25 ,8322429
7/8/2025,$94.06 ,$95.75 ,$93.78 ,$94.94 ,6985665
7/7/2025,$94.16 ,$94.95 ,$92.97 ,$93.64 ,5311175
7/3/2025,$94.20 ,$94.65 ,$93.76 ,$94.44 ,3557273
7/2/2025,$95.28 ,$95.30 ,$93.35 ,$94.18 ,7942282
7/1/2025,$91.54 ,$95.86 ,$91.54 ,$94.92 ,9828404
6/30/2025,$92.42 ,$94.16 ,$91.08 ,$91.63 ,10083270
6/27/2025,$91.77 ,$92.72 ,$90.33 ,$92.11 ,21491640
6/26/2025,$92.10 ,$92.20 ,$90.42 ,$91.84 ,6571647
6/25/2025,$91.76 ,$92.00 ,$90.62 ,$91.10 ,6929643
6/24/2025,$92.91 ,$93.84 ,$90.31 ,$91.50 ,11373850
6/23/2025,$93.20 ,$93.21 ,$90.74 ,$92.34 ,7532996
6/20/2025,$93.08 ,$93.80 ,$92.40 ,$93.12 ,9197029
6/18/2025,$91.88 ,$92.58 ,$91.23 ,$92.28 ,7319258
6/17/2025,$93.16 ,$93.21 ,$90.79 ,$91.59 ,6183009
6/16/2025,$93.98 ,$94.43 ,$92.94 ,$93.48 ,5871048
6/13/2025,$93.50 ,$94.61 ,$93.16 ,$93.26 ,7119922
